titulo ,score,date
Hyper-Psychic Geo Garaga,5.17,"Oct 21, 1989"
Teki wa Kaizoku: Neko-tachi no Kyouen,6.20,"Jan 1, 1990"
UFO Princess Valkyrie: Recap,6.20,"Aug 23, 2003"
Nekketsu Uchuujin,5.29,"Oct 31, 2009"
"Dr. Slump Movie 02: ""Hoyoyo!"" Uchuu Daibouken",6.46,"Jul 10, 1982"
Elysium,5.32,"Aug 15, 2003"
Kimi no Matsu Mirai (Basho) e,5.91,"Nov 11, 2018"
Galactic Patrol Lensman,6.26,"Oct 6, 1984"
Dr. Slump Movie 04: Arale-chan Hoyoyo! Nanaba Shiro no Hihou,6.36,"Dec 22, 1984"
Happy ComeCome,5.50,"Mar 22, 2015"
Geisters: Fractions of the Earth,5.82,"Oct 6, 2001"
Boku no Chikyuu wo Mamotte: Kiniro no Toki Nagarete,6.57,"Oct 24, 2001"
Wakusei Robo Danguard Ace,6.33,"Mar 6, 1977, 19:00 (JST)"
Adachi-ga Hara,6.01,"Nov 16, 1991"
Arei no Kagami: Way to the Virgin Space,5.62,"Mar 16, 1985"
Ariel Deluxe,5.58,"Jan 21, 1991"
Rayca,4.87,"Mar 5, 2002"
Sei Shoujo Sentai Lakers EX,4.95,"May 21, 1996"
Last Orders,5.75,"Oct ??, 1997"
Ano Hi no Kokoro wo Toraete,6.02,"Oct 23, 2019"
Last Exile: Doyou no Asa,5.72,"Dec 17, 2011"
Master of Torque,5.14,"Mar 20, 2014"
Wakusei Daikaiju Negadon,5.57,"Oct 16, 2005"
Doraemon and Itchy the Stray,6.34,"Jan 2, 1987"
Prayers,5.50,"Aug 26, 2005"
Gundam Build Divers Battlogue,6.56,"Nov 13, 2020"
Cluster Edge Specials,6.41,"Sep 22, 2006"
Salamander,5.91,"Feb 25, 1987"
Joker: Marginal City,5.31,"Apr 21, 1992"
Qiang Shen Ji,6.50,"Dec 8, 2017"
Shui Naodai,6.12,"Jun 17, 2009"
Ice Movie,5.58,"Nov 29, 2008"
Kyuukyoku Choujin R,6.27,"Oct 24, 1991"
Dai Yamato Zero-gou,5.74,"Mar 31, 2004"
Mirai Robo Daltanias,6.61,"Mar 21, 1979"
Time Slip Ichimannen: Prime Rose,5.51,"Aug 21, 1983"
100-man-nen Chikyuu no Tabi: Bander Book,5.71,"Aug 27, 1978"
Chou Kidou Densetsu DinaGiga,4.94,"Jul 15, 1998"
Firestorm,5.62,"Apr 6, 2003, 09:00 (JST)"
Chou Kousoku Galvion,6.00,"Feb 3, 1984"
Uchurei!,5.68,"Aug 9, 2009"
Choujikuu Romanesque Samy: Missing 99,4.64,"Jul 5, 1986"
Gulliver no Uchuu Ryokou,5.85,"Mar 20, 1965"
Beast Wars Second Chou Seimeitai Transformers: Lio Convoy Kiki Ippatsu! Movie,6.09,"Dec 19, 1998"
R20: Ginga Kuukou,5.56,"Aug 28, 1991"
Delpower X Bakuhatsu Miracle Genki!,5.46,"Dec 21, 1986"
Kaitei Choutokkyuu: Marine Express,6.08,"Aug 26, 1979"
Tondera House no Daibouken,6.22,"Apr 5, 1982"
Tamala 2010: A Punk Cat in Space OVA,5.60,"Aug 24, 2007"
Mugen Kouro,5.16,"Oct 9, 2008"
Dr. Slump Movie 07: Arale-chan N-cha! Penguin Mura yori Ai wo Komete,6.16,"Jul 10, 1993"
Love Like Aliens,5.59,"Jul 15, 2012"
Dr. Slump Movie 03: Arale-chan Hoyoyo! Sekai Isshuu Dai Race,6.24,"Mar 13, 1983"
Dr. Slump Movie 11: Dr. Mashirito & Abale-chan,6.04,"Mar 3, 2007"
Techno Police 21C,5.43,"Aug 7, 1982"
Astroganger,6.39,"Oct 4, 1972"
Doraemon: Time Machine de Oshougatsu,6.40,"Jan 1, 1980"
Mother: Saigo no Shoujo Eve,5.71,"Dec 26, 1993"
